10;11;16;27;29;44
11;13;16;21;35;42
1;4;14;23;34;39
13;24;34;41;43;44
3;9;21;25;29;37
1;5;12;23;29;41
6;17;22;28;41;42
1;6;8;20;30;39
1;6;16;22;31;37
6;13;20;29;36;38
1;5;18;25;41;45
3;5;22;24;30;38
8;15;23;28;33;45
19;28;31;36;40;41
14;20;21;27;28;36
1;10;26;30;31;36
11;23;31;36;38;41
8;18;20;31;35;45
6;10;12;13;27;38
10;12;23;30;34;35
2;9;28;29;42;43
7;8;24;32;40;42
3;10;24;28;34;36
8;9;14;24;25;30
2;3;4;20;28;35
5;27;30;33;39;42
1;7;21;25;27;30
4;11;16;27;28;38
12;25;27;28;40;43
4;7;11;12;15;38
9;13;22;24;26;43
1;4;9;13;27;32
2;8;12;23;33;39
4;9;14;17;18;22
1;11;17;28;41;43
9;10;11;17;21;23
4;8;13;28;30;34
5;8;14;20;25;29
4;17;25;32;36;43
3;9;22;26;28;32
2;7;9;26;36;40
9;10;11;20;31;40
2;19;23;33;36;45
2;6;8;15;24;28
4;25;32;42;43;44
2;9;10;13;27;40
2;6;8;18;22;25
5;16;23;31;41;43
1;17;19;25;32;44
19;29;33;39;42;45
12;16;29;37;40;42
14;17;18;19;35;43
2;8;10;16;23;32
14;26;28;29;32;34
1;2;5;11;28;41
11;15;18;22;28;42
8;9;12;13;14;35
5;8;16;22;27;31
4;8;11;19;20;30
8;9;17;18;40;45
6;10;18;25;31;33
21;31;32;37;38;39
13;18;25;26;40;44
2;12;20;28;34;35
16;24;30;37;41;44
7;8;16;19;34;35
3;4;20;34;38;39
6;8;22;31;38;39
6;13;14;23;26;42
21;30;39;40;42;45
1;5;19;22;27;44
19;20;27;29;36;39
2;9;23;26;28;45
1;3;9;19;30;44
5;16;22;28;33;34
4;10;13;18;23;32
6;13;19;23;33;39
11;24;25;28;40;43
4;12;14;30;31;34
4;8;20;28;33;35
1;5;8;13;30;33
2;10;12;14;32;45
2;16;20;21;32;41
3;15;16;30;38;43
5;19;21;32;37;42
3;10;17;32;33;38
3;7;11;18;35;42
2;11;20;25;29;39
2;6;10;17;35;43
10;11;23;32;33;36
3;15;25;29;39;45
1;15;16;20;23;32
3;4;16;25;40;41
20;24;25;38;39;45
4;11;14;22;24;45
6;11;13;15;34;45
7;9;15;31;35;36
7;10;26;27;29;42
14;16;21;24;31;34
2;15;18;19;33;42
3;21;24;37;40;45
1;2;10;22;31;45
5;11;12;13;15;37
7;15;21;27;30;33
7;15;20;21;31;37
5;11;18;19;28;31
9;10;15;20;34;36
1;2;7;9;11;32
7;17;18;40;41;45
13;20;30;37;40;43
6;10;15;17;27;42
13;14;19;40;43;45
3;13;21;26;28;33
14;26;30;34;37;42
1;18;20;22;26;30
2;20;33;34;37;40
11;12;13;20;33;43
1;4;7;8;15;38
17;25;28;36;42;44
4;17;34;36;39;41
10;15;16;21;33;38
2;4;22;26;39;42
2;4;19;21;26;39
4;6;11;24;35;42
4;6;8;11;35;37
13;21;25;28;29;32
10;20;21;27;33;43
2;3;6;8;19;23
3;18;21;24;29;39
3;12;21;35;37;43
5;21;41;42;43;45
1;2;18;23;26;44
6;16;18;23;31;33
8;12;15;26;36;45
5;9;14;20;35;36
7;15;23;27;30;42
14;18;26;27;28;38
5;7;11;18;38;45
12;23;25;30;35;36
13;20;36;41;42;44
2;14;17;18;24;39
1;8;14;25;31;35
6;25;26;35;44;45
3;9;22;25;43;44
6;30;31;36;43;45
21;29;37;40;42;45
3;16;19;26;28;35
11;16;19;20;31;36
1;8;20;21;24;26
2;6;7;20;29;43
8;12;14;26;38;40
1;6;8;15;16;42
3;10;20;23;34;41
5;14;20;22;25;30
3;6;15;17;18;20
3;5;13;21;26;38
12;20;24;27;30;39
11;13;36;37;42;45
14;33;36;41;43;45
9;11;16;25;26;31
8;9;10;23;29;34
5;10;24;27;43;45
2;10;18;22;33;42
7;15;25;29;41;42
3;11;14;16;22;35
18;20;23;32;38;44
3;10;19;34;39;41
8;9;20;24;27;42
5;11;18;21;43;44
1;8;17;21;31;36
1;4;16;18;27;34
6;14;19;21;25;37
22;26;34;37;40;44
7;10;25;31;39;40
1;4;5;10;32;38
1;4;9;19;35;43
3;7;11;28;29;31
2;9;16;25;29;37
2;16;23;28;39;43
3;11;18;19;26;41
8;13;14;28;29;31
2;13;18;35;38;45
10;20;23;26;39;45
1;17;20;21;22;40
10;12;28;31;38;45
9;14;27;35;44;45
8;13;19;22;43;44
9;16;21;29;32;34
13;15;27;34;41;44
12;18;32;37;38;39
3;6;11;19;20;27
19;22;27;29;36;40
15;29;36;39;41;42
7;10;26;29;33;41
13;20;21;22;23;29
1;6;29;30;32;33
12;13;15;27;39;44
15;16;18;20;22;34
1;4;9;16;21;39
16;19;26;28;38;44
7;12;13;15;22;41
18;20;30;36;39;41
9;11;18;19;20;30
2;16;18;19;20;38
2;12;14;17;19;35
6;11;19;30;35;41
2;4;10;31;36;37
21;24;25;27;30;40
10;16;17;28;34;41
8;10;17;20;35;36
3;8;26;29;32;38
3;6;16;18;28;36
1;15;16;22;27;28
3;8;15;25;28;30
5;12;23;32;37;45
6;10;14;39;41;43
7;10;12;13;21;26
1;2;5;24;29;38
6;9;17;32;37;38
9;16;18;20;38;39
8;9;20;22;25;34
6;12;15;17;21;43
17;23;25;28;36;39
3;12;14;17;20;28
9;21;22;28;31;44
6;12;22;23;37;40
1;13;20;35;39;41
11;16;22;27;28;42
10;11;12;20;40;45
9;23;31;39;42;43
26;34;35;40;42;45
3;10;14;21;35;41
3;4;10;19;20;44
2;5;12;13;16;32
4;8;15;17;33;37
2;3;4;12;19;26
3;4;23;24;28;44
4;5;17;25;31;32
1;4;5;21;35;44
8;9;10;27;38;45
15;16;28;29;30;42
16;29;34;35;39;43
3;5;11;21;25;34
1;14;18;24;42;44
2;15;16;25;36;44
6;7;12;19;22;28
4;18;24;29;36;40
1;4;12;25;26;36
8;25;33;38;39;42
3;4;16;26;39;42
3;6;25;29;34;44
5;13;14;24;31;34
5;22;34;43;44;45
10;29;30;35;36;42
14;29;31;32;34;36
22;24;27;30;38;44
8;11;15;19;21;41
8;13;17;18;23;38
8;12;26;27;33;45
6;10;11;15;19;23
1;2;5;10;15;29
2;18;30;31;36;43
8;17;24;37;41;43
6;13;25;30;31;43
11;15;23;31;38;44
8;9;21;24;32;34
11;24;37;39;43;44
3;4;11;16;17;45
8;15;16;23;29;41
2;8;13;25;40;42
7;21;23;26;40;41
2;9;10;13;15;26
1;2;3;4;6;43
2;7;16;23;34;36
4;6;11;29;34;43
12;17;19;34;36;45
13;18;24;31;41;42
7;14;25;26;27;32
1;3;9;35;39;41
15;16;24;33;41;42
2;6;17;22;23;37
8;19;21;25;35;39
3;7;9;18;20;31
13;15;27;29;32;33
10;14;17;28;29;42
3;13;19;21;37;45
3;23;30;35;40;42
